model,doc_id,relevance,factuality,fkgl,smog,dale_chall
gen_1,0,0.8373014330863953,0.40985745191574097,9.6,11.3,7.78
gen_1,1,0.8199158310890198,0.3109878599643707,8.7,11.5,8.64
gen_1,2,0.8147642016410828,0.3448072671890259,9.1,12.2,7.22
gen_1,3,0.8106053471565247,0.2686913013458252,8.5,11.7,8.28
gen_1,4,0.8141055107116699,0.3334355056285858,10.3,13.3,7.03
gen_1,5,0.827799379825592,0.3270582854747772,10.2,12.8,9.86
gen_1,6,0.8299610614776611,0.40022024512290955,10.3,12.0,7.76
gen_1,7,0.8330546021461487,0.2989100217819214,10.5,13.2,7.47
gen_1,8,0.8251552581787109,0.3070952296257019,10.2,12.4,8.33
gen_1,9,0.8396782279014587,0.3656318783760071,8.6,11.6,8.02
gen_1,10,0.8394052386283875,0.2820941209793091,9.1,12.1,8.3
gen_1,11,0.8422595262527466,0.33571404218673706,10.2,12.7,7.24
gen_1,12,0.8455055952072144,0.2831675112247467,13.4,15.0,7.49
gen_1,13,0.8489333987236023,0.2928972542285919,11.2,13.8,7.74
gen_1,14,0.8335026502609253,0.22155222296714783,10.9,13.3,7.87
gen_1,15,0.8507093191146851,0.38745081424713135,11.3,14.6,7.71
gen_1,16,0.832534909248352,0.2357124239206314,10.6,13.3,8.23
gen_1,17,0.8196064233779907,0.19396048784255981,9.3,11.4,8.27
gen_1,18,0.8253734111785889,0.3240702152252197,8.7,11.9,7.55
gen_1,19,0.8419727683067322,0.3191107213497162,7.7,10.4,6.95
gen_1,20,0.8409597873687744,0.2996842861175537,10.0,12.3,8.11
gen_1,21,0.836659848690033,0.313983291387558,10.2,12.3,8.06
gen_1,22,0.8241752982139587,0.22915847599506378,9.3,12.1,7.41
gen_1,23,0.8399216532707214,0.2779560387134552,9.1,13.0,7.75
gen_1,24,0.8367327451705933,0.3212289810180664,12.1,13.9,7.66
gen_1,25,0.8512356281280518,0.18671266734600067,9.2,11.6,8.26
gen_1,26,0.8333755731582642,0.3490262031555176,11.3,13.7,7.38
gen_1,27,0.8374865055084229,0.28476980328559875,8.8,12.1,9.8
gen_1,28,0.8374298214912415,0.34628918766975403,9.8,12.5,7.78
gen_1,29,0.8362135887145996,0.28629472851753235,11.9,14.8,7.7
gen_2,0,0.8470625877380371,0.4443901777267456,10.7,11.9,7.36
gen_2,1,0.8365566730499268,0.3062378466129303,8.9,11.6,8.71
gen_2,2,0.8119029402732849,0.3737304210662842,11.6,13.6,7.76
gen_2,3,0.8285567164421082,0.29345089197158813,8.5,11.6,8.14
gen_2,4,0.8270747065544128,0.37093207240104675,10.9,13.5,7.22
gen_2,5,0.8195375204086304,0.3158145248889923,9.9,12.8,9.05
gen_2,6,0.8235377073287964,0.40427684783935547,9.6,12.1,7.2
gen_2,7,0.815494179725647,0.2659667134284973,9.7,12.7,7.45
gen_2,8,0.8223578333854675,0.2849668860435486,8.7,11.7,8.63
gen_2,9,0.8435905575752258,0.31116625666618347,8.5,11.1,7.81
gen_2,10,0.8539493083953857,0.26442950963974,9.5,11.4,7.65
gen_2,11,0.8342381119728088,0.28810441493988037,11.1,13.8,7.94
gen_2,12,0.8481785655021667,0.33699432015419006,13.3,14.7,7.31
gen_2,13,0.8431134223937988,0.2849840819835663,10.6,13.1,8.93
gen_2,14,0.8344765305519104,0.2448197305202484,11.3,13.7,8.03
gen_2,15,0.8497021794319153,0.3874090611934662,11.3,14.2,7.19
gen_2,16,0.8413851261138916,0.15464940667152405,10.6,13.0,8.22
gen_2,17,0.8340689539909363,0.22037668526172638,11.5,13.6,8.34
gen_2,18,0.8468787670135498,0.30592647194862366,10.4,13.1,7.63
gen_2,19,0.840323269367218,0.3187025785446167,9.5,11.3,6.61
gen_2,20,0.8471234440803528,0.2657226324081421,11.9,14.3,9.19
gen_2,21,0.8281885385513306,0.2299153208732605,8.8,11.5,7.36
gen_2,22,0.8240523934364319,0.24002332985401154,9.4,12.3,6.74
gen_2,23,0.8283620476722717,0.2914661169052124,9.2,12.9,7.82
gen_2,24,0.8375462889671326,0.3371945023536682,10.6,13.3,8.06
gen_2,25,0.833836555480957,0.27217787504196167,8.2,11.0,11.04
gen_2,26,0.8459422588348389,0.3754630982875824,10.9,13.8,7.55
gen_2,27,0.853114664554596,0.21628457307815552,11.7,13.8,8.64
gen_2,28,0.8326196074485779,0.35790419578552246,11.6,14.1,7.18
gen_2,29,0.8371251821517944,0.3083101809024811,10.7,13.6,7.35
